Hisse,AI Score,Sinyal,Dip Puanı,Fib Puanı,Dip Durumu,Fib Durumu
PKART,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
EUPWR,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
EBEBK,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
BYDNR,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
CATES,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
CWENE,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
TKFEN,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
BSOKE,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
AKFIS,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
ALARK,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
AKCNS,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
OZYSR,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
EFOR,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
SOKE,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
MOGAN,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
GMTAS,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
BINHO,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
RYGYO,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
UFUK,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
RGYAS,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
AGHOL,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
AKHAN,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
YGGYO,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
ETILR,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
ZGYO,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
ATSYH,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
AYEN,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
QNBFK,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
AEFES,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
CCOLA,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
ALCAR,5.75,BEKLE,5,10,DIP_DEGIL,FIB_HIGH_ZONE
ESCAR,1.5,BEKLE,0,10,DIP_DEGIL,FIB_HIGH_ZONE
BIGTK,1.5,BEKLE,0,10,DIP_DEGIL,FIB_HIGH_ZONE
