Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
IZINV,39,74,3,39.0,37.0,3.0,28.85,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
ISSEN,27,44,38,27.0,22.0,38.0,28.4,ALMA,BOTTOM_SIDEWAYS,WATCH,DISTRIBUTION
KSTUR,30,59,20,30.0,29.5,20.0,28.18,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
DOHOL,40,74,0,40.0,37.0,0.0,28.05,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
YUNSA,34,57,20,34.0,28.5,20.0,27.93,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
TURGG,25,65,13,25.0,32.5,13.0,27.52,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
YAYLA,23,59,20,23.0,29.5,20.0,27.48,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
GENTS,28,54,23,28.0,27.0,23.0,27.25,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
TLMAN,29,74,0,29.0,37.0,0.0,26.95,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
ADEL,36,69,3,36.0,34.5,3.0,26.93,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
ECILC,25,56,20,25.0,28.0,20.0,26.7,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
AKFGY,39,70,0,39.0,35.0,0.0,26.65,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
FMIZP,32,72,0,32.0,36.0,0.0,26.6,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
PARSN,29,66,5,29.0,33.0,5.0,25.85,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
DOKTA,34,68,0,34.0,34.0,0.0,25.5,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
FRMPL,24,48,25,24.0,24.0,25.0,25.5,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
ARTMS,30,54,15,30.0,27.0,15.0,25.05,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
RAYSG,24,66,3,24.0,33.0,3.0,24.75,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
TAVHL,15,39,35,15.0,19.5,35.0,24.68,ALMA,HEAVY_DOWN_TREND,WEAK,DISTRIBUTION
ADGYO,32,62,3,32.0,31.0,3.0,24.25,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
MCARD,25,45,23,25.0,22.5,23.0,24.02,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
