Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
PGSUS,31,101,53,31.0,50.5,53.0,51.83,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
KLSER,34,113,35,34.0,56.5,35.0,50.62,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
BAGFS,48,108,35,48.0,54.0,35.0,50.4,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
LIDFA,44,97,48,44.0,48.5,48.0,50.33,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
ISSEN,31,110,38,31.0,55.0,38.0,50.25,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
BORSK,39,112,33,39.0,56.0,33.0,50.2,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
IHAAS,30,90,58,30.0,45.0,58.0,49.65,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
LOGO,37,106,38,37.0,53.0,38.0,49.55,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
DAPGM,49,100,40,49.0,50.0,40.0,49.4,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
ALBRK,37,98,45,37.0,49.0,45.0,49.05,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
OYAKC,28,102,43,28.0,51.0,43.0,48.85,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
MSGYO,33,110,30,33.0,55.0,30.0,48.05,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
SARKY,34,102,38,34.0,51.0,38.0,47.95,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
BRKSN,27,91,52,27.0,45.5,52.0,47.88,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
AKFGY,53,107,25,53.0,53.5,25.0,47.58,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_DISTRIBUTION
ARCLK,34,100,38,34.0,50.0,38.0,47.3,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
EMKEL,53,108,23,53.0,54.0,23.0,47.3,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_DISTRIBUTION
MOPAS,45,115,18,45.0,57.5,18.0,47.27,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
YUNSA,40,107,28,40.0,53.5,28.0,47.17,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
SAHOL,44,90,45,44.0,45.0,45.0,47.15,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
BUCIM,27,101,38,27.0,50.5,38.0,46.93,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
BURCE,54,96,33,54.0,48.0,33.0,46.5,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
OYYAT,40,107,25,40.0,53.5,25.0,46.27,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
CMENT,45,98,33,45.0,49.0,33.0,46.25,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
NIBAS,46,93,38,46.0,46.5,38.0,46.23,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
MNDTR,40,104,28,40.0,52.0,28.0,46.2,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
HEKTS,37,90,43,37.0,45.0,43.0,45.85,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
KAPLM,44,86,45,44.0,43.0,45.0,45.85,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
SEKFK,37,78,55,37.0,39.0,55.0,45.55,BEKLE,EARLY_REBOUND,STRONG_DIP,NEUTRAL
MARTI,39,93,38,39.0,46.5,38.0,45.52,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
ENSRI,52,110,15,52.0,55.0,15.0,45.45,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_DISTRIBUTION
SASA,51,112,13,51.0,56.0,13.0,45.4,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_DISTRIBUTION
RUZYE,43,91,38,43.0,45.5,38.0,45.27,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
BRYAT,35,98,33,35.0,49.0,33.0,45.25,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
ORCAY,35,73,60,35.0,36.5,60.0,45.23,BEKLE,EARLY_REBOUND,STRONG_DIP,EARLY_ACCUMULATION
TUCLK,39,96,33,39.0,48.0,33.0,45.0,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
SODSN,38,99,30,38.0,49.5,30.0,44.98,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
FENER,32,98,33,32.0,49.0,33.0,44.95,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
GLRMK,38,91,38,38.0,45.5,38.0,44.77,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
EUREN,42,94,33,42.0,47.0,33.0,44.65,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
VAKKO,42,91,35,42.0,45.5,35.0,44.27,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
LRSHO,45,90,35,45.0,45.0,35.0,44.25,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
PKENT,33,100,28,33.0,50.0,28.0,44.2,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION
AGROT,43,92,33,43.0,46.0,33.0,44.1,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
TURGG,43,99,25,43.0,49.5,25.0,43.98,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
TAVHL,47,93,30,47.0,46.5,30.0,43.93,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
SAYAS,46,95,28,46.0,47.5,28.0,43.88,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
MARMR,43,82,43,43.0,41.0,43.0,43.85,BEKLE,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION
TUREX,40,106,18,40.0,53.0,18.0,43.85,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
OYAYO,29,93,35,29.0,46.5,35.0,43.62,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
VRGYO,40,89,35,40.0,44.5,35.0,43.42,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
ADEL,41,93,30,41.0,46.5,30.0,43.33,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
ELITE,34,108,15,34.0,54.0,15.0,43.0,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION
BESLR,32,94,30,32.0,47.0,30.0,42.75,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
ASUZU,31,82,43,31.0,41.0,43.0,42.65,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
BERA,35,92,30,35.0,46.0,30.0,42.4,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
KUTPO,31,95,28,31.0,47.5,28.0,42.38,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION
ALFAS,45,104,13,45.0,52.0,13.0,42.2,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
DMLKT,44,90,28,44.0,45.0,28.0,42.05,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
PNSUT,36,97,23,36.0,48.5,23.0,42.02,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
ESEN,35,88,33,35.0,44.0,33.0,42.0,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
MRGYO,41,89,28,41.0,44.5,28.0,41.42,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
CEMAS,38,97,20,38.0,48.5,20.0,41.33,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
BRISA,31,73,48,31.0,36.5,48.0,41.23,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,NEUTRAL
VKING,41,93,23,41.0,46.5,23.0,41.23,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
HOROZ,40,106,8,40.0,53.0,8.0,40.85,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
VKFYO,26,71,50,26.0,35.5,50.0,40.67,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,NEUTRAL
HUBVC,26,82,38,26.0,41.0,38.0,40.65,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
MHRGY,29,85,33,29.0,42.5,33.0,40.42,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
ULAS,38,80,33,38.0,40.0,33.0,39.7,ALMA,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION
ALVES,41,97,13,41.0,48.5,13.0,39.52,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
FONET,42,92,18,42.0,46.0,18.0,39.5,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
YBTAS,42,73,38,42.0,36.5,38.0,39.33,ALMA,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION
ADESE,37,86,25,37.0,43.0,25.0,39.15,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
TSGYO,29,87,25,29.0,43.5,25.0,38.68,ALMA,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION
BAYRK,31,79,33,31.0,39.5,33.0,38.68,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
EKOS,40,88,18,40.0,44.0,18.0,38.0,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
HURGZ,35,83,25,35.0,41.5,25.0,37.98,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
EGSER,28,82,28,28.0,41.0,28.0,37.85,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
BLCYT,38,86,20,38.0,43.0,20.0,37.75,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
MGROS,29,81,28,29.0,40.5,28.0,37.62,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
RTALB,31,94,13,31.0,47.0,13.0,37.55,ALMA,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION
TEKTU,44,83,20,44.0,41.5,20.0,37.38,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
ADGYO,27,78,30,27.0,39.0,30.0,37.05,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
KZGYO,22,62,48,22.0,31.0,48.0,36.75,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,NEUTRAL
ERCB,45,98,0,45.0,49.0,0.0,36.35,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
BEYAZ,34,80,23,34.0,40.0,23.0,36.3,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
SMRVA,46,78,18,46.0,39.0,18.0,35.35,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
AGYO,26,61,43,26.0,30.5,43.0,35.33,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,DISTRIBUTION
MEKAG,41,69,28,41.0,34.5,28.0,34.93,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
DITAS,26,79,20,26.0,39.5,20.0,34.28,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
KAREL,38,77,18,38.0,38.5,18.0,34.23,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
GUBRF,33,72,25,33.0,36.0,25.0,34.2,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
BEGYO,31,69,28,31.0,34.5,28.0,33.93,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
KMPUR,43,83,8,43.0,41.5,8.0,33.68,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
GLCVY,35,87,5,35.0,43.5,5.0,33.28,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
YKSLN,46,88,0,46.0,44.0,0.0,33.2,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
KUYAS,32,55,40,32.0,27.5,40.0,33.08,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,DISTRIBUTION
EUYO,33,70,23,33.0,35.0,23.0,32.95,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
DYOBY,35,69,23,35.0,34.5,23.0,32.83,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
DOKTA,34,82,8,34.0,41.0,8.0,32.45,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
RAYSG,43,77,10,43.0,38.5,10.0,32.33,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
BFREN,41,73,15,41.0,36.5,15.0,32.33,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
SUMAS,45,76,8,45.0,38.0,8.0,31.6,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
KSTUR,25,66,25,25.0,33.0,25.0,31.45,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
VSNMD,41,72,13,41.0,36.0,13.0,31.4,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
CEMTS,20,81,10,20.0,40.5,10.0,31.32,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
KARSN,31,68,20,31.0,34.0,20.0,31.2,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
YATAS,37,66,20,37.0,33.0,20.0,31.15,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
TLMAN,38,69,15,38.0,34.5,15.0,30.73,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
GARAN,35,57,28,35.0,28.5,28.0,30.43,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
AKENR,39,74,8,39.0,37.0,8.0,30.35,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
KRTEK,28,68,18,28.0,34.0,18.0,30.3,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
HTTBT,31,62,23,31.0,31.0,23.0,30.15,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
YIGIT,41,68,13,41.0,34.0,13.0,30.1,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
KLKIM,38,73,8,38.0,36.5,8.0,29.93,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
SNGYO,31,54,30,31.0,27.0,30.0,29.65,ALMA,BOTTOM_SIDEWAYS,WATCH,DISTRIBUTION
EPLAS,25,65,20,25.0,32.5,20.0,29.62,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
TBORG,31,49,33,31.0,24.5,33.0,28.93,ALMA,BOTTOM_SIDEWAYS,WATCH,DISTRIBUTION
SELVA,28,73,8,28.0,36.5,8.0,28.93,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
NUGYO,32,77,0,32.0,38.5,0.0,28.23,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
KFEIN,38,70,5,38.0,35.0,5.0,28.05,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
CVKMD,29,77,0,29.0,38.5,0.0,27.93,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
ERSU,32,59,18,32.0,29.5,18.0,27.77,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
GIPTA,35,67,8,35.0,33.5,8.0,27.68,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
MEGMT,28,72,3,28.0,36.0,3.0,27.1,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION
GZNMI,42,68,0,42.0,34.0,0.0,26.3,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
SEGYO,31,58,13,31.0,29.0,13.0,25.85,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
KATMR,27,50,23,27.0,25.0,23.0,25.85,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
AKBNK,29,46,25,29.0,23.0,25.0,25.35,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
BMSCH,30,50,20,30.0,25.0,20.0,25.25,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
MEDTR,37,56,10,37.0,28.0,10.0,24.9,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
LUKSK,36,56,10,36.0,28.0,10.0,24.8,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
AYCES,30,67,0,30.0,33.5,0.0,24.78,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
KRVGD,27,65,0,27.0,32.5,0.0,23.82,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
MIATK,33,51,13,33.0,25.5,13.0,23.77,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
AKYHO,28,43,23,28.0,21.5,23.0,23.67,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
BAHKM,25,60,5,25.0,30.0,5.0,23.5,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
SANKO,45,51,8,45.0,25.5,8.0,23.47,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION
ALTIN,27,58,5,27.0,29.0,5.0,23.05,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
SILVR,29,61,0,29.0,30.5,0.0,22.73,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
OSTIM,35,56,3,35.0,28.0,3.0,22.6,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
KTSKR,47,55,0,47.0,27.5,0.0,22.57,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
QUAGR,40,57,0,40.0,28.5,0.0,22.53,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION
MEPET,33,54,5,33.0,27.0,5.0,22.35,ALMA,BOTTOM_SIDEWAYS,WATCH,HEAVY_DISTRIBUTION
MAKTK,33,57,0,33.0,28.5,0.0,21.83,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
YONGA,31,57,0,31.0,28.5,0.0,21.63,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION
