Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
MMCAS,57,139,98,57.0,69.5,98.0,80.28,AL,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_ACCUMULATION
BULGS,55,140,91,55.0,70.0,91.0,78.3,IZLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_ACCUMULATION
DOGUB,56,127,98,56.0,63.5,98.0,76.28,IZLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_ACCUMULATION
AKGRT,59,145,76,59.0,72.5,76.0,75.83,IZLE,ACCUMULATION_DIP,PERFECT_DIP,ACCUMULATION
A1YEN,53,148,68,53.0,74.0,68.0,73.8,IZLE,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION
MPARK,41,156,63,41.0,78.0,63.0,73.7,IZLE,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
MAVI,49,148,68,49.0,74.0,68.0,73.4,IZLE,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
GARFA,50,122,93,50.0,61.0,93.0,72.55,IZLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_ACCUMULATION
ALKIM,52,139,68,52.0,69.5,68.0,70.78,IZLE,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION
GOLTS,39,138,68,39.0,69.0,68.0,69.15,ERKEN,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
ATAKP,61,140,58,61.0,70.0,58.0,69.0,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
ANHYT,52,123,78,52.0,61.5,78.0,68.58,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,ACCUMULATION
AFYON,44,138,58,44.0,69.0,58.0,66.65,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
ECILC,32,142,53,32.0,71.0,53.0,65.25,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
ECZYT,51,117,73,51.0,58.5,73.0,65.03,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION
TSKB,47,120,68,47.0,60.0,68.0,64.1,ERKEN,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
TERA,56,117,68,56.0,58.5,68.0,64.03,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION
ANSGR,51,130,52,51.0,65.0,52.0,62.95,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
BOBET,43,131,53,43.0,65.5,53.0,62.77,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
CUSAN,55,126,53,55.0,63.0,53.0,62.35,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
VAKBN,42,93,93,42.0,46.5,93.0,62.33,ERKEN,EARLY_REBOUND,PERFECT_DIP,HEAVY_ACCUMULATION
OTTO,41,115,68,41.0,57.5,68.0,61.88,ERKEN,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
ENTRA,38,139,43,38.0,69.5,43.0,61.88,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
BRSAN,59,122,53,59.0,61.0,53.0,61.45,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
SISE,52,137,38,52.0,68.5,38.0,61.12,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
RUBNS,58,123,50,58.0,61.5,50.0,60.78,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
AVHOL,50,141,33,50.0,70.5,33.0,60.73,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
BASGZ,41,115,62,41.0,57.5,62.0,60.08,ERKEN,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
BVSAN,58,118,53,58.0,59.0,53.0,60.05,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
ORMA,42,132,43,42.0,66.0,43.0,60.0,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
BASCM,34,113,63,34.0,56.5,63.0,59.02,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,EARLY_ACCUMULATION
CIMSA,42,123,48,42.0,61.5,48.0,58.58,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
EUHOL,29,111,65,29.0,55.5,65.0,58.48,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,EARLY_ACCUMULATION
EGGUB,47,134,33,47.0,67.0,33.0,58.15,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
COSMO,46,117,50,46.0,58.5,50.0,57.62,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
SUWEN,54,116,48,54.0,58.0,48.0,57.5,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,NEUTRAL
TMPOL,51,98,66,51.0,49.0,66.0,56.75,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,EARLY_ACCUMULATION
FRIGO,60,116,43,60.0,58.0,43.0,56.6,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
RYSAS,44,107,58,44.0,53.5,58.0,56.57,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
MNDRS,36,123,43,36.0,61.5,43.0,56.48,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
DOAS,40,131,33,40.0,65.5,33.0,56.48,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
ISFIN,44,118,43,44.0,59.0,43.0,55.65,ERKEN,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
FZLGY,65,120,33,65.0,60.0,33.0,55.4,ERKEN,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
EYGYO,47,111,48,47.0,55.5,48.0,55.18,ERKEN,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
CLEBI,22,123,43,22.0,61.5,43.0,55.08,ERKEN,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
GWIND,35,116,43,35.0,58.0,43.0,54.1,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
FADE,55,117,35,55.0,58.5,35.0,54.02,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
ULUFA,40,97,61,40.0,48.5,61.0,53.83,BEKLE,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
OYLUM,34,101,58,34.0,50.5,58.0,53.62,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
LKMNH,41,89,68,41.0,44.5,68.0,53.42,BEKLE,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
ALKA,40,103,53,40.0,51.5,53.0,53.38,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
DOFER,37,103,53,37.0,51.5,53.0,53.08,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
AVPGY,39,89,66,39.0,44.5,66.0,52.62,BEKLE,EARLY_REBOUND,PERFECT_DIP,EARLY_ACCUMULATION
INTEM,46,108,43,46.0,54.0,43.0,52.6,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
