Hisse,Trend,Dip,Volume,fibonacci,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu,fibonacci Durumu
USAK,34,66,0,85,34.0,33.0,0.0,39.6,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ADEL,33,67,0,85,33.0,33.5,0.0,39.58,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
SAHOL,30,70,0,85,30.0,35.0,0.0,39.5,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
NUGYO,36,63,0,85,36.0,31.5,0.0,39.47,ALMA,EARLY_REBOUND,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
KUTPO,21,80,0,85,21.0,40.0,0.0,39.45,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
PKENT,27,63,8,85,27.0,31.5,8.0,39.27,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
YESIL,46,50,0,85,46.0,25.0,0.0,39.2,ALMA,EARLY_REBOUND,WATCH,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
HEKTS,20,69,8,85,20.0,34.5,8.0,38.92,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
DITAS,32,64,0,85,32.0,32.0,0.0,38.85,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
BRYAT,19,75,3,85,19.0,37.5,3.0,38.78,ALMA,HEAVY_DOWN_TREND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
DMLKT,30,80,0,75,30.0,40.0,0.0,38.75,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_GOLDEN_RATIO_SUPPORT
PARSN,32,63,0,85,32.0,31.5,0.0,38.67,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
SARKY,32,63,0,85,32.0,31.5,0.0,38.67,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ARCLK,28,67,0,85,28.0,33.5,0.0,38.58,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
