Hisse,Trend,Dip,Volume,fibonacci,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu,fibonacci Durumu
PRDGS,35,65,38,85,35.0,32.5,38.0,47.23,BEKLE,EARLY_REBOUND,EARLY_RECOVERY,DISTRIBUTION,FIB_BOTTOM_ZONE
A1YEN,42,81,3,95,42.0,40.5,3.0,46.92,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
OSTIM,41,84,13,85,41.0,42.0,13.0,46.75,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
GOLTS,27,88,23,85,27.0,44.0,23.0,46.65,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
TUCLK,36,82,18,85,36.0,41.0,18.0,46.4,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
AKGRT,41,76,18,85,41.0,38.0,18.0,46.35,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
AGYO,26,61,33,95,26.0,30.5,33.0,46.23,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,DISTRIBUTION,FIB_236_RECLAIM
ARENA,38,70,25,85,38.0,35.0,25.0,46.1,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ALBRK,26,79,28,85,26.0,39.5,28.0,45.88,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
VAKBN,30,57,43,85,30.0,28.5,43.0,45.83,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,DISTRIBUTION,FIB_BOTTOM_ZONE
YAYLA,32,88,0,95,32.0,44.0,0.0,45.55,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
BURCE,34,79,18,85,34.0,39.5,18.0,45.48,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
GENTS,41,91,0,85,41.0,45.5,0.0,45.38,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
GEREL,43,100,45,40,43.0,50.0,45.0,45.1,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL,FIB_MID_ZONE
BTCIM,29,67,18,95,29.0,33.5,18.0,44.88,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
OYAKC,23,108,0,85,23.0,54.0,0.0,44.75,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
DOFER,31,70,23,85,31.0,35.0,23.0,44.3,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
MNDRS,28,94,5,85,28.0,47.0,5.0,44.3,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
RUBNS,41,75,8,85,41.0,37.5,8.0,44.18,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ADESE,27,83,15,85,27.0,41.5,15.0,44.17,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
TAVHL,38,73,10,85,38.0,36.5,10.0,43.62,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
ALKIM,32,77,0,95,32.0,38.5,0.0,43.62,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
BORSK,33,84,5,85,33.0,42.0,5.0,43.55,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
DYOBY,31,65,23,85,31.0,32.5,23.0,43.42,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,HEAVY_DISTRIBUTION,FIB_BOTTOM_ZONE
